Year,Region,Country,GDP,GDPGrowth,GDPPerCapitaGrowth,TotalPopulation,PopulationGrowth,WorkingPopulation
2010,East Asia & Pacific,China,6.09E+12,10.63614046,10.10310072,1337705000,0.482959689,986577919
2010,East Asia & Pacific,Japan,5.70E+12,4.191739259,4.173027538,128070000,0.017960542,82152248
2010,Europe & Central Asia,Germany,3.42E+12,4.079933305,4.239504345,81776930,-0.153198447,53886909
2010,Europe & Central Asia,France,2.64E+12,1.949437632,1.447012859,65027507,0.494035951,42120369
2010,Europe & Central Asia,United Kingdom,2.45E+12,1.711206445,0.917020678,62766365,0.783888647,41350322
2010,Europe & Central Asia,Italy,2.13E+12,1.686523403,1.37422513,59277417,0.307591222,38821428
2010,Europe & Central Asia,Russian Federation,1.52E+12,4.5,4.453103204,142849449,0.04488739,102883722
2010,Latin America & Caribbean,Brazil,2.21E+12,7.52822583,6.524372804,195713635,0.937956738,133797356
2010,North America,United States,1.50E+13,2.563766558,1.71674816,309326085,0.829274641,206802109
2010,South Asia,India,1.68E+12,8.497586876,7.042349032,1234281170,1.350339045,789877544
2011,East Asia & Pacific,China,7.55E+12,9.55091409,9.027255945,1344130000,0.479150454,990704324
2011,East Asia & Pacific,Japan,6.16E+12,-0.11542134,0.069762808,127833000,-0.185226486,81221183
2011,Europe & Central Asia,Germany,3.76E+12,3.660000155,5.599481428,80274983,-1.853714629,52869965
2011,Europe & Central Asia,France,2.86E+12,2.192700651,1.699630119,65342780,0.483658695,42127936
2011,Europe & Central Asia,United Kingdom,2.63E+12,1.644770017,0.853333205,63258918,0.781677289,41474839
2011,Europe & Central Asia,Italy,2.28E+12,0.576623022,0.403801715,59379449,0.171978291,38715698
2011,Europe & Central Asia,Russian Federation,2.05E+12,4.300029186,4.218741172,142960868,0.077967098,102634415
2011,Latin America & Caribbean,Brazil,2.62E+12,3.974423079,3.026404568,197514534,0.915962656,135591426
2011,North America,United States,1.55E+13,1.550835506,0.816231685,311580009,0.726014424,208038861
2011,South Asia,India,1.82E+12,5.241314225,3.893900217,1250288729,1.28857558,803981308
2012,East Asia & Pacific,China,8.53E+12,7.859627493,7.33538001,1350695000,0.487231118,993567856
2012,East Asia & Pacific,Japan,6.20E+12,1.495089586,1.657317593,127629000,-0.159710676,80262098
2012,Europe & Central Asia,Germany,3.54E+12,0.491992829,0.303518386,80425823,0.187727801,52975852
2012,Europe & Central Asia,France,2.68E+12,0.313134744,-0.171212884,65659809,0.48400512,42076001
2012,Europe & Central Asia,United Kingdom,2.68E+12,1.447060443,0.744129587,63700300,0.695315843,41563441
2012,Europe & Central Asia,Russian Federation,2.21E+12,3.700057055,3.525674995,143201676,0.168301591,102205209
2012,Europe & Central Asia,Italy,2.07E+12,-2.819013779,-3.080603909,59539717,0.26954124,38630702
2012,Latin America & Caribbean,Brazil,2.47E+12,1.921175986,1.014535214,199287296,0.893531058,137326971
2012,North America,United States,1.62E+13,2.249545852,1.502170582,313874218,0.733617007,209235760
2012,South Asia,India,1.83E+12,5.456387552,4.165528082,1265782790,1.231622928,818411272
2013,East Asia & Pacific,China,9.57E+12,7.768615284,7.237862515,1357380000,0.493709634,995254240
2013,East Asia & Pacific,Japan,5.16E+12,2.000267841,2.147531753,127445000,-0.144271883,79299566
2013,Europe & Central Asia,Germany,3.75E+12,0.489584482,0.215722046,80645605,0.272900215,53129191
2013,Europe & Central Asia,France,2.81E+12,0.576326679,0.059905732,65998687,0.514784474,41998956
2013,Europe & Central Asia,United Kingdom,2.75E+12,2.046299585,1.365347257,64128226,0.669533807,41637474
2013,Europe & Central Asia,Russian Federation,2.30E+12,1.80000014,1.583474519,143506911,0.212923595,101644404
2013,Europe & Central Asia,Italy,2.13E+12,-1.728160802,-2.860800443,60233948,1.159251117,38878085
2013,Latin America & Caribbean,Brazil,2.47E+12,3.004822669,2.108888405,201035903,0.873603191,139006117
2013,North America,United States,1.68E+13,1.84208107,1.138497258,316057727,0.693255125,210257059
2013,South Asia,India,1.86E+12,6.386106401,5.134956907,1280846129,1.18301607,832931135
2014,East Asia & Pacific,China,1.04E+13,7.299518921,6.75762202,1364270000,0.506311592,996046584
2014,East Asia & Pacific,Japan,4.85E+12,0.374719476,0.507999337,127276000,-0.132694222,78379970
2014,Europe & Central Asia,Germany,3.90E+12,2.178066561,1.752995962,80982500,0.416877359,53327698
2014,Europe & Central Asia,United Kingdom,3.03E+12,2.947562163,2.174921216,64613160,0.753349499,41744392
2014,Europe & Central Asia,France,2.85E+12,0.956183042,0.472969992,66316100,0.479785542,41907928
2014,Europe & Central Asia,Italy,2.15E+12,0.113673238,-0.800672819,60789140,0.917504096,39035661
2014,Europe & Central Asia,Russian Federation,2.06E+12,0.69999943,-1.080941759,143819666,0.217700101,101035287
