Region,Homes Sold,Inventory,Median Dom(days on market),Median List Price,Months of Supply,New Listings,Sold Under List,Sold Above List
"Boston, MA",414,1028,22,549900,2.5,1091,0.162451362,0.483091787
"Washington, DC",691,1254,13,469000,1.8,1046,0.229665072,0.353111433
"Seattle, WA",933,698,7,599950,0.7,1149,0.140401146,0.651287554
"Seattle, WA",1145,1095,7,495000,1,1396,0.197260274,0.561572052
"San Jose, CA",660,801,12,652525,1.2,904,0.154806492,0.681818182
"Boston, MA",358,1356,88,506950,3.8,448,0.091445428,0.229050279
"Washington, DC",607,1233,24,499000,2,879,0.189781022,0.309719934
"Chicago, IL",2366,9421,68,320000,4,4165,0.18543679,0.224006762
"San Jose, CA",659,1396,29,460000,2.1,867,0.228510029,0.350531108
"San Jose, CA",703,757,12,735000,1.1,1010,0.138705416,0.748221906
"San Diego, CA",1188,1973,21,575000,1.7,1155,0.25646224,0.256950295
"Boston, MA",492,2022,63,439000,4.1,684,0.173590504,0.32586558
"Boston, MA",420,669,26,675000,1.6,419,0.155455904,0.288095238
"San Francisco, CA",562,569,16,849000,1,391,0.149384886,0.695729537
"Seattle, WA",1184,1363,9,584995,1.2,1385,0.294937638,0.429898649
"San Francisco, CA",350,561,15,849000,1.6,523,0.094474153,0.602857143
"Seattle, WA",836,1266,13,419950,1.5,1091,0.262243286,0.40430622
"Washington, DC",738,1753,16,539900,2.4,1044,0.329150029,0.358208955
"Los Angeles, CA",2541,6407,26,615000,2.5,3115,0.24551272,0.364566929
"Los Angeles, CA",2319,6933,34,689949.5,3,3332,0.148564835,0.45105649
"Washington, DC",828,1357,17,469500,1.6,706,0.232866618,0.355501814
"San Jose, CA",949,1171,15,749894,1.2,1085,0.172502135,0.749209694
"San Francisco, CA",504,808,19,1100000,1.6,603,0.180693069,0.694444444
"San Francisco, CA",496,1109,22,1199000,2.2,565,0.185752931,0.657258065
"Seattle, WA",1104,1986,12,399000,1.8,1176,0.289526687,0.363224638
"Washington, DC",631,1435,20,482425,2.3,544,0.252961672,0.283676704
"Seattle, WA",1145,1883,9,399000,1.6,1237,0.295804567,0.424454148
"Los Angeles, CA",2043,4164,23,449000,2,2795,0.176272815,0.408823529
